=== GPU Info ===
CUDA available: True
GPU count: 1
GPU name: NVIDIA H200
GPU memory: 150.1 GB

=== Training Config ===
model:
  name: microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext
training:
  seed: 42
  epochs: 20
  batch_size: 16
  gradient_accumulation_steps: 2
  learning_rate: 2.0e-05
  max_length: 192
  weight_decay: 0.02
  lr_scheduler_type: linear
  warmup_ratio: 0.0
  warmup_steps: 500
  metric_for_best_model: entity_f1
  greater_is_better: true
  save_total_limit: 2
  logging_steps: 25
  fp16: true
  bf16: false
  early_stopping:
    patience: 4
    threshold: 0.0005

=== Data Stats ===
  11883 data/processed/train.jsonl
   3962 data/processed/val.jsonl
   3962 data/processed/test.jsonl
  19807 total

=== Starting Training ===
{'loss': '4.265', 'grad_norm': '17.9', 'learning_rate': '8.4e-07', 'epoch': '0.06729'}
{'loss': '3.961', 'grad_norm': '17.72', 'learning_rate': '1.84e-06', 'epoch': '0.1346'}
{'loss': '3.22', 'grad_norm': '6.788', 'learning_rate': '2.84e-06', 'epoch': '0.2019'}
{'loss': '2.375', 'grad_norm': '4.861', 'learning_rate': '3.84e-06', 'epoch': '0.2692'}
{'loss': '1.614', 'grad_norm': '4.875', 'learning_rate': '4.84e-06', 'epoch': '0.3365'}
{'loss': '1.038', 'grad_norm': '6.416', 'learning_rate': '5.84e-06', 'epoch': '0.4038'}
{'loss': '0.7306', 'grad_norm': '3.814', 'learning_rate': '6.84e-06', 'epoch': '0.4711'}
{'loss': '0.4995', 'grad_norm': '3.094', 'learning_rate': '7.84e-06', 'epoch': '0.5384'}
{'loss': '0.3977', 'grad_norm': '4.991', 'learning_rate': '8.84e-06', 'epoch': '0.6057'}
{'loss': '0.3916', 'grad_norm': '4.549', 'learning_rate': '9.84e-06', 'epoch': '0.6729'}
{'loss': '0.4289', 'grad_norm': '2.869', 'learning_rate': '1.084e-05', 'epoch': '0.7402'}
{'loss': '0.3591', 'grad_norm': '4.629', 'learning_rate': '1.184e-05', 'epoch': '0.8075'}
{'loss': '0.3387', 'grad_norm': '2.887', 'learning_rate': '1.284e-05', 'epoch': '0.8748'}
{'loss': '0.3118', 'grad_norm': '2.117', 'learning_rate': '1.384e-05', 'epoch': '0.9421'}
{'eval_loss': '0.1582', 'eval_token_accuracy': '0.9172', 'eval_entity_token_precision': '0.9371', 'eval_entity_token_recall': '0.835', 'eval_entity_token_f1': '0.8831', 'eval_entity_f1': '0.8831', 'eval_runtime': '1.775', 'eval_samples_per_second': '2232', 'eval_steps_per_second': '139.7', 'epoch': '1'}
{'loss': '0.3178', 'grad_norm': '2.051', 'learning_rate': '1.484e-05', 'epoch': '1.008'}
{'loss': '0.3443', 'grad_norm': '3.662', 'learning_rate': '1.584e-05', 'epoch': '1.075'}
{'loss': '0.3346', 'grad_norm': '1.557', 'learning_rate': '1.684e-05', 'epoch': '1.143'}
{'loss': '0.3585', 'grad_norm': '3.098', 'learning_rate': '1.784e-05', 'epoch': '1.21'}
{'loss': '0.3562', 'grad_norm': '2.548', 'learning_rate': '1.884e-05', 'epoch': '1.277'}
{'loss': '0.3026', 'grad_norm': '2.064', 'learning_rate': '1.984e-05', 'epoch': '1.345'}
{'loss': '0.3201', 'grad_norm': '1.224', 'learning_rate': '1.994e-05', 'epoch': '1.412'}
{'loss': '0.3084', 'grad_norm': '2.097', 'learning_rate': '1.987e-05', 'epoch': '1.479'}
{'loss': '0.3259', 'grad_norm': '1.757', 'learning_rate': '1.98e-05', 'epoch': '1.546'}
{'loss': '0.313', 'grad_norm': '3.005', 'learning_rate': '1.972e-05', 'epoch': '1.614'}
